id,name,element,hp,atk,def,spd,total,talent,variant,series
1,2B,Neutral,80,97,66,82,325,Temporal Rewind,-,Nier: Automata
2,9S,Neutral,94,67,90,76,327,Temporal Rewind,-,Nier: Automata
3,Accelerator,Light,73,89,70,89,321,Offensive Stance,-,A Certain Scientific Railgun
4,Ai Hayasaka,Ground,88,88,57,93,326,Restricted Instinct,-,Love Is War
5,Ainz Ooal Gown,Dark,82,99,66,78,325,Elemental Strike,Dark/ATK,Overlord
6,Ais Wallenstein,Neutral,68,93,94,66,321,Breaker,ATK,Danmachi
7,Akame,Dark,85,80,69,86,320,Executioner,-,Akame Ga Kill!
8,Akane Tsunemori,Light,77,89,93,62,321,Lucky Coin,-,Psycho Pass
9,Akeno Himejima,Electric,62,99,71,91,323,Rejuvenation,-,High School DxD
10,Aki Hayakawa,Dark,79,94,76,80,329,Temporal Rewind,-,Chainsaw Man
11,Akiko Yosano,Neutral,85,75,85,80,325,Protector,-,Bungou Stray Dogs
12,Akira Hayama,Grass,73,83,71,100,327,Dominance,-,Shokugeki No Soma
13,Akitaru Obi,Ground,94,70,76,83,323,Endurance,-,Fire Force
14,Aladdin,Light,64,76,84,97,321,Divine Blessing,-,Magi
15,Albedo,Dark,96,94,67,67,324,Poison,-,Overlord
16,Alex Louis Armstrong,Light,89,87,92,86,354,Recoil,-,Fullmetal Alchemist
17,Alibaba Saluja,Fire,80,76,96,71,323,Divine Blessing,-,Magi
18,Alice Nakiri,Ground,81,73,76,95,325,Breaker,ATK,Shokugeki No Soma
19,Alice Zuberg,Light,75,86,98,65,324,Regeneration,-,Sword Art Online
20,All Might,Neutral,85,94,76,67,322,Underdog,ATK,My Hero Academia
21,Amber,Neutral,79,99,83,66,327,Precision,-,Darker Than Black
22,Ami Mizuno (Sailor Mercury),Water,72,84,70,98,324,Rejuvenation,-,Sailor Moon
23,Android 18,Ground,74,92,75,81,322,Overload,ATK,Dragon Ball
24,Angel Devil,Neutral,88,91,73,76,328,Life Sap,-,Chainsaw Man
25,Anna Kyoyama,Light,76,89,80,84,329,Celestial Blessing,-,Shaman King
26,Annie Leonhart,Water,96,96,65,70,327,Transformation,ATK,Attack On Titan
27,Anya Forger,Light,80,80,80,80,320,Reversion,-,Spy X Family
28,Aoi Asahina,Water,72,77,91,87,327,Regeneration,-,Danganronpa
